pos	motif	type	treated_fixed_count	treated_depth	control_fixed_count	control_depth
NR_003285.3_RNA5_8SN5_100	NNUNN	Psi	3197	3209	2926	2927
NR_003285.3_RNA5_8SN5_110	NNUNN	Psi	3744	3782	3128	3130
NR_003285.3_RNA5_8SN5_111	NNUNN	Psi	3557	3592	2941	2941
NR_003285.3_RNA5_8SN5_123	NNUNN	Psi	3565	3583	2658	2659
NR_003285.3_RNA5_8SN5_124	NNUNN	Psi	3414	3602	2627	2627
NR_003285.3_RNA5_8SN5_127	NNUNN	Psi	3519	3532	2605	2605
NR_003285.3_RNA5_8SN5_136	NNUNN	Psi	3823	3824	2531	2531
NR_003285.3_RNA5_8SN5_14	NNUNN	Psi	756	766	1311	1311
NR_003285.3_RNA5_8SN5_142	NNUNN	Psi	3180	3209	2207	2209
NR_003285.3_RNA5_8SN5_144	NNUNN	Psi	3088	3139	2158	2159
NR_003285.3_RNA5_8SN5_146	NNUNN	Psi	3094	3129	2104	2104
NR_003285.3_RNA5_8SN5_152	NNUNN	Psi	2810	2812	1934	1934
NR_003285.3_RNA5_8SN5_156	NNUNN	Psi	2536	2536	1767	1767
NR_003285.3_RNA5_8SN5_157	NNUNN	Psi	430	430	359	359
NR_003285.3_RNA5_8SN5_18	NNUNN	Psi	886	891	1411	1411
NR_003285.3_RNA5_8SN5_22	NNUNN	Psi	919	929	1496	1496
NR_003285.3_RNA5_8SN5_27	NNUNN	Psi	950	956	1530	1530
NR_003285.3_RNA5_8SN5_30	NNUNN	Psi	884	889	1361	1364
NR_003285.3_RNA5_8SN5_34	NNUNN	Psi	944	946	1434	1434
NR_003285.3_RNA5_8SN5_38	NNUNN	Psi	882	896	1332	1332
NR_003285.3_RNA5_8SN5_5	NNUNN	Psi	504	509	1023	1023
NR_003285.3_RNA5_8SN5_51	NNUNN	Psi	1911	1924	3231	3232
NR_003285.3_RNA5_8SN5_55	NNUNN	Psi	653	1937	3585	3586
NR_003285.3_RNA5_8SN5_63	NNUNN	Psi	2319	2327	3876	3878
NR_003285.3_RNA5_8SN5_64	NNUNN	Psi	2339	2345	4067	4071
NR_003285.3_RNA5_8SN5_67	NNUNN	Psi	2495	2497	4142	4142
NR_003285.3_RNA5_8SN5_69	NNUNN	Psi	321	2213	3827	3830
NR_003285.3_RNA5_8SN5_7	NNUNN	Psi	586	588	1143	1143
NR_003285.3_RNA5_8SN5_73	NNUNN	Psi	2683	2716	3790	3791
NR_003285.3_RNA5_8SN5_74	NNUNN	Psi	2635	2672	3749	3751
NR_003285.3_RNA5_8SN5_8	NNUNN	Psi	622	622	1178	1179
NR_003285.3_RNA5_8SN5_85	NNUNN	Psi	2910	2917	3310	3311
NR_003285.3_RNA5_8SN5_86	NNUNN	Psi	2907	2913	3320	3321
NR_003285.3_RNA5_8SN5_89	NNUNN	Psi	3074	3089	3381	3381
NR_003285.3_RNA5_8SN5_92	NNUNN	Psi	3257	3272	3463	3466
NR_003285.3_RNA5_8SN5_99	NNUNN	Psi	3217	3260	3147	3149
